aZiFeL, 1,  1,P18,24,       0,     148
aZiFeL, 1,  1, P3,09,       0,     201
aZiFeL, 1,  1,P29,35,       0,     145
aZiFeL, 1,  1,P25,31,       0,      83
aZiFeL, 1,  1,P27,33,       0,     128
aZiFeL, 1,  1, P1,07,       0,     203
aZiFeL, 1,  1,P10,16,       0,     211
aZiFeL, 1,  1,P12,18,       0,     169
aZiFeL, 1,  1,P16,22,       0,     130
aZiFeL, 1,  1, t4,03,       1,     297
aZiFeL, 1,  1, t6,05,       0,     287
aZiFeL, 1,  1,P14,20,       0,     183
aZiFeL, 1,  1,P21,27,       0,     181
aZiFeL, 1,  1, t2,01,       0,     315
aZiFeL, 1,  1, P8,14,       0,     249
aZiFeL, 1,  1, P6,12,       0,     210
aZiFeL, 1,  1, P4,10,       0,     201
aZiFeL, 1,  1,P23,29,       0,     166
aZiFeL, 1,  1,P19,25,       0,     194
aZiFeL, 1,  1,P28,34,       0,     159
aZiFeL, 1,  1,P26,32,       0,     167
aZiFeL, 1,  1, P2,08,       0,     232
aZiFeL, 1,  1,P24,30,       0,     138
aZiFeL, 1,  1,P13,19,       0,     169
aZiFeL, 1,  1,P11,17,       0,     168
aZiFeL, 1,  1, t7,06,       0,     224
aZiFeL, 1,  1,P17,23,       0,     144
aZiFeL, 1,  1,P20,26,       0,     161
aZiFeL, 1,  1, t5,04,       0,     294
aZiFeL, 1,  1,P15,21,       0,     165
aZiFeL, 1,  1,P22,28,       0,     147
aZiFeL, 1,  1, t3,02,       0,     269
aZiFeL, 1,  1, P9,15,       0,     173
aZiFeL, 1,  1, t1,00,       0,     675
aZiFeL, 1,  1, P7,13,       0,     214
aZiFeL, 1,  1, P5,11,       0,     209
cutlgZ, 1,  1,P18,24,       0,     162
cutlgZ, 1,  1, P3,09,       0,     232
cutlgZ, 1,  1,P29,35,       0,     117
cutlgZ, 1,  1,P25,31,       0,      96
cutlgZ, 1,  1,P27,33,       0,     158
cutlgZ, 1,  1, P1,07,       0,     205
cutlgZ, 1,  1,P10,16,       0,     189
cutlgZ, 1,  1,P12,18,       0,     160
cutlgZ, 1,  1,P16,22,       0,     127
cutlgZ, 1,  1, t4,03,       1,     287
cutlgZ, 1,  1, t6,05,       0,     266
cutlgZ, 1,  1,P14,20,       0,     153
cutlgZ, 1,  1,P21,27,       0,     151
cutlgZ, 1,  1, t2,01,       0,     309
cutlgZ, 1,  1, P8,14,       0,     226
cutlgZ, 1,  1, P6,12,       0,     197
cutlgZ, 1,  1, P4,10,       0,     201
cutlgZ, 1,  1,P23,29,       0,     120
